dataset_short_name,model,level,f1_mean,f1_std,f1_rank
large/0.25,DAE-Offline,attribute,0.02975175456278471,0.014263922221400951,6.0
large/0.25,DAE-Offline,event,0.0670158303949873,0.054573938255883574,6.0
large/0.25,DAE-Offline,trace,0.24939202051731815,0.15966475948582692,6.0
large/0.25,DAE-Online,attribute,0.03364648129903072,0.02868127640545217,5.0
large/0.25,DAE-Online,event,0.08007938498226012,0.07615331488442414,3.0
large/0.25,DAE-Online,trace,0.25060610817042156,0.16820596902676385,5.0
large/0.25,transformer-Offline,attribute,0.0753833361734978,0.06229480137383381,1.0
large/0.25,transformer-Offline,event,0.08558515177718118,0.04569128254560952,1.0
large/0.25,transformer-Offline,trace,0.41593298668239925,0.193066471836682,1.0
large/0.25,transformer-Online,attribute,0.06838522774094764,0.055800308002505614,3.0
large/0.25,transformer-Online,event,0.08288924633885286,0.0454118964501822,2.0
large/0.25,transformer-Online,trace,0.37530365907745716,0.17206683238718612,2.0
large/0.25,transformer-oa-offline,attribute,0.06840049049390555,0.06525426672406046,2.0
large/0.25,transformer-oa-offline,event,0.07857277309882806,0.04088403098175858,4.0
large/0.25,transformer-oa-offline,trace,0.3661803266645533,0.17081467098691536,3.0
large/0.25,transformer-oa-online,attribute,0.06175019577740123,0.05905026884863323,4.0
large/0.25,transformer-oa-online,event,0.07381880778143571,0.04109253921612766,5.0
large/0.25,transformer-oa-online,trace,0.33182761190948135,0.1463988492199788,4.0
large/0.25,DAE-Offline,combined,0.11538653515836339,0.134854194285204,6.0
large/0.25,DAE-Online,combined,0.12144399148390415,0.13957702282624887,5.0
large/0.25,transformer-Offline,combined,0.19230049154435938,0.1980241603933701,1.0
large/0.25,transformer-Online,combined,0.17552604438575256,0.17719140618755827,2.0
large/0.25,transformer-oa-offline,combined,0.17105119675242897,0.17464673550096516,3.0
large/0.25,transformer-oa-online,combined,0.15579887182277274,0.15574352609187747,4.0
