dataset_short_name,categorical_encoding,level,f1_mean,f1_std,f1_rank
gigantic/0.45,Tokenizer,attribute,0.060222688802238966,0.03739892919139945,1.0
gigantic/0.45,Tokenizer,event,0.08472909992247389,0.0419050483866612,1.0
gigantic/0.45,Tokenizer,trace,0.3498014694659361,0.06616034033329478,1.0
huge/0.45,Tokenizer,attribute,0.05448370373775685,0.052516293674416945,1.0
huge/0.45,Tokenizer,event,0.07730861154915927,0.05290432218223421,1.0
huge/0.45,Tokenizer,trace,0.375769350335559,0.08409874124819197,1.0
large/0.45,Tokenizer,attribute,0.05196438658027522,0.060816259686837765,1.0
large/0.45,Tokenizer,event,0.07214953613206533,0.05827588999947705,1.0
large/0.45,Tokenizer,trace,0.3749897324331198,0.08161565641914628,1.0
p2p/0.45,Tokenizer,attribute,0.06134293997190058,0.05402996935002626,1.0
p2p/0.45,Tokenizer,event,0.08709542492146387,0.05644630717810873,1.0
p2p/0.45,Tokenizer,trace,0.3906997835215383,0.07649208408041015,1.0
small/0.45,Tokenizer,attribute,0.06044114157783508,0.06253419512434358,1.0
small/0.45,Tokenizer,event,0.08543912742213665,0.06500288118291503,1.0
small/0.45,Tokenizer,trace,0.43832079287874487,0.1386952931197513,1.0
wide/0.45,Tokenizer,attribute,0.06275484499878757,0.05238152916641301,1.0
wide/0.45,Tokenizer,event,0.0880095057716234,0.05102928903237292,1.0
wide/0.45,Tokenizer,trace,0.3856729130091677,0.08812350658830417,1.0
gigantic/0.45,Tokenizer,combined,0.1649177527302163,0.14097208529738997,1.0
huge/0.45,Tokenizer,combined,0.16918722187415838,0.16067949287513209,1.0
large/0.45,Tokenizer,combined,0.16636788504848676,0.16307363196876615,1.0
p2p/0.45,Tokenizer,combined,0.17971271613830092,0.16296186575377655,1.0
small/0.45,Tokenizer,combined,0.19473368729290552,0.1976306749836342,1.0
wide/0.45,Tokenizer,combined,0.17881242125985955,0.16140889583279538,1.0
