categorical_encoding,level,rank_mean,rank_std,f1_mean,f1_std
Word2Vec Average Then Concatinate,attribute,1.0,0.0,0.07,0.0
One Hot,attribute,2.0,0.0,0.07,0.0
One Hot,combined,1.0,0.0,0.18,0.0
Word2Vec Average Then Concatinate,combined,2.0,0.0,0.18,0.0
Word2Vec Average Then Concatinate,event,1.0,0.0,0.11,0.0
One Hot,event,2.0,0.0,0.11,0.0
One Hot,trace,1.0,0.0,0.37,0.0
Word2Vec Average Then Concatinate,trace,2.0,0.0,0.36,0.0
