level&model&f1_mean_Average&f1_std_Average&f1_mean_Order&f1_std_Order&f1_mean_Attribute&f1_std_Attribute&f1_mean_Arrival Time&f1_std_Arrival Time&f1_mean_Workload&f1_std_Workload&run_time_mean&run_time_std
trace&Arrival Time (2)&0.423&0.026&0.333&0.012&0.467&0.062&0.332&0.024&0.559&0.036&358.803&85.542
trace&Arrival Time (4)&0.422&0.026&0.333&0.012&0.467&0.062&0.332&0.023&0.557&0.035&358.797&85.481
trace&Arrival Time Only&0.34&0.011&0.328&0.02&0.333&0.021&0.324&0.021&0.373&0.067&358.798&85.534
trace&Attribute (2)&0.421&0.026&0.333&0.012&0.465&0.064&0.329&0.024&0.555&0.035&358.653&85.522
trace&Attribute (4)&0.42&0.026&0.332&0.012&0.467&0.064&0.329&0.022&0.553&0.033&358.618&85.474
trace&Attribute (8)&0.421&0.027&0.332&0.012&0.467&0.063&0.331&0.023&0.556&0.037&358.649&85.295
trace&Attribute Only&0.366&0.022&0.328&0.02&0.465&0.063&0.287&0.021&0.384&0.06&358.638&85.506
trace&Order (2)&0.422&0.025&0.334&0.011&0.469&0.062&0.329&0.021&0.555&0.037&351.601&85.143
trace&Order (4)&0.42&0.026&0.334&0.011&0.468&0.062&0.328&0.022&0.552&0.034&351.628&85.108
trace&Order (8)&0.419&0.026&0.334&0.011&0.465&0.064&0.327&0.022&0.55&0.035&351.636&85.126
trace&Order Only&0.327&0.009&0.334&0.011&0.326&0.019&0.287&0.019&0.362&0.051&355.025&85.363
trace&Workload (2)&0.423&0.026&0.333&0.012&0.467&0.064&0.331&0.023&0.562&0.032&351.601&85.121
trace&Workload (4)&0.423&0.025&0.333&0.012&0.467&0.063&0.329&0.023&0.561&0.033&351.65&85.153
trace&Workload (8)&0.423&0.026&0.333&0.012&0.466&0.063&0.329&0.023&0.562&0.034&348.299&84.877
trace&Workload Only&0.373&0.012&0.33&0.018&0.331&0.019&0.277&0.006&0.555&0.042&351.722&85.157
event&Arrival Time (2)&0.105&0.012&0.09&0.006&0.101&0.01&0.082&0.015&0.145&0.021&358.803&85.542
event&Arrival Time (4)&0.105&0.012&0.09&0.006&0.101&0.01&0.082&0.015&0.145&0.021&358.797&85.481
event&Arrival Time Only&0.094&0.008&0.092&0.014&0.092&0.014&0.081&0.014&0.109&0.027&358.798&85.534
event&Attribute (2)&0.104&0.012&0.09&0.006&0.101&0.01&0.082&0.015&0.143&0.02&358.653&85.522
event&Attribute (4)&0.104&0.012&0.089&0.006&0.101&0.01&0.082&0.015&0.144&0.02&358.618&85.474
event&Attribute (8)&0.104&0.012&0.089&0.005&0.101&0.01&0.082&0.015&0.144&0.021&358.649&85.295
event&Attribute Only&0.094&0.01&0.091&0.014&0.102&0.01&0.082&0.015&0.103&0.013&358.638&85.506
event&Order (2)&0.104&0.012&0.09&0.005&0.102&0.011&0.082&0.015&0.143&0.02&351.601&85.143
event&Order (4)&0.105&0.012&0.091&0.005&0.102&0.011&0.082&0.014&0.144&0.02&351.628&85.108
event&Order (8)&0.104&0.012&0.09&0.005&0.102&0.011&0.082&0.015&0.143&0.02&351.636&85.126
event&Order Only&0.092&0.008&0.09&0.005&0.092&0.014&0.082&0.016&0.104&0.013&355.025&85.363
event&Workload (2)&0.105&0.012&0.09&0.005&0.102&0.011&0.083&0.015&0.145&0.021&351.601&85.121
event&Workload (4)&0.105&0.012&0.09&0.006&0.102&0.01&0.082&0.015&0.145&0.023&351.65&85.153
event&Workload (8)&0.105&0.012&0.089&0.006&0.102&0.011&0.082&0.015&0.147&0.022&348.299&84.877
event&Workload Only&0.103&0.016&0.091&0.013&0.092&0.014&0.083&0.018&0.147&0.023&351.722&85.157
attribute&Arrival Time (2)&0.091&0.007&0.178&0.033&0.04&0.005&0.082&0.015&0.064&0.015&358.803&85.542
attribute&Arrival Time (4)&0.092&0.006&0.18&0.032&0.041&0.005&0.082&0.015&0.063&0.013&358.797&85.481
attribute&Arrival Time Only&0.061&0.006&0.083&0.012&0.036&0.006&0.081&0.014&0.044&0.019&358.798&85.534
attribute&Attribute (2)&0.091&0.006&0.177&0.032&0.041&0.005&0.082&0.015&0.064&0.014&358.653&85.522
attribute&Attribute (4)&0.09&0.007&0.176&0.033&0.041&0.005&0.082&0.015&0.063&0.013&358.618&85.474
attribute&Attribute (8)&0.091&0.007&0.177&0.032&0.041&0.005&0.082&0.015&0.064&0.014&358.649&85.295
attribute&Attribute Only&0.06&0.008&0.083&0.013&0.041&0.005&0.082&0.015&0.034&0.005&358.638&85.506
attribute&Order (2)&0.092&0.006&0.183&0.032&0.041&0.005&0.082&0.015&0.063&0.013&351.601&85.143
attribute&Order (4)&0.092&0.006&0.183&0.031&0.041&0.005&0.082&0.014&0.063&0.013&351.628&85.108
attribute&Order (8)&0.092&0.006&0.183&0.031&0.041&0.005&0.082&0.015&0.061&0.012&351.636&85.126
attribute&Order Only&0.085&0.004&0.183&0.03&0.036&0.006&0.082&0.016&0.038&0.01&355.025&85.363
attribute&Workload (2)&0.092&0.006&0.179&0.032&0.041&0.005&0.083&0.015&0.064&0.013&351.601&85.121
attribute&Workload (4)&0.092&0.006&0.18&0.033&0.041&0.005&0.082&0.015&0.065&0.015&351.65&85.153
attribute&Workload (8)&0.092&0.006&0.177&0.032&0.041&0.005&0.082&0.015&0.066&0.015&348.299&84.877
attribute&Workload Only&0.067&0.013&0.082&0.012&0.036&0.006&0.083&0.018&0.068&0.016&351.722&85.157
combined&Arrival Time (2)&0.206&0.011&0.2&0.009&0.203&0.025&0.166&0.008&0.256&0.019&358.803&86.198
combined&Arrival Time (4)&0.206&0.011&0.201&0.009&0.203&0.025&0.166&0.008&0.255&0.018&358.797&86.137
combined&Arrival Time Only&0.165&0.003&0.168&0.015&0.154&0.013&0.162&0.007&0.175&0.031&358.798&86.191
combined&Attribute (2)&0.205&0.011&0.2&0.009&0.203&0.026&0.165&0.008&0.254&0.018&358.653&86.178
combined&Attribute (4)&0.205&0.011&0.199&0.009&0.203&0.026&0.164&0.007&0.253&0.017&358.618&86.13
combined&Attribute (8)&0.205&0.012&0.199&0.009&0.203&0.026&0.165&0.007&0.254&0.019&358.649&86.134
combined&Attribute Only&0.174&0.009&0.167&0.015&0.202&0.026&0.15&0.014&0.174&0.02&358.638&86.162
combined&Order (2)&0.206&0.011&0.202&0.009&0.204&0.025&0.164&0.008&0.254&0.019&351.601&85.025
combined&Order (4)&0.206&0.011&0.203&0.009&0.204&0.026&0.164&0.009&0.253&0.018&351.628&84.992
combined&Order (8)&0.205&0.011&0.202&0.009&0.203&0.026&0.163&0.009&0.251&0.018&351.636&85.01
combined&Order Only&0.168&0.004&0.202&0.008&0.151&0.013&0.151&0.013&0.168&0.02&355.025&85.249
combined&Workload (2)&0.207&0.011&0.201&0.009&0.203&0.026&0.165&0.008&0.257&0.017&351.601&85.014
combined&Workload (4)&0.206&0.011&0.201&0.009&0.203&0.026&0.165&0.008&0.257&0.019&351.65&85.048
combined&Workload (8)&0.206&0.012&0.2&0.009&0.203&0.026&0.165&0.007&0.258&0.02&348.299&85.529
combined&Workload Only&0.181&0.012&0.168&0.014&0.153&0.013&0.148&0.013&0.257&0.023&351.722&85.052
