categorical_encoding,level,rank_mean,rank_std,f1_mean,f1_std
Tokenizer,attribute,1.0,0.0,0.09,0.01
Tokenizer,combined,1.0,0.0,0.21,0.02
Tokenizer,event,1.0,0.0,0.13,0.01
Tokenizer,trace,1.0,0.0,0.42,0.03
