level&model&f1_mean_Average&f1_std_Average&f1_mean_Order&f1_std_Order&f1_mean_Attribute&f1_std_Attribute&f1_mean_Arrival Time&f1_std_Arrival Time&f1_mean_Workload&f1_std_Workload&run_time_mean&run_time_std
trace&Pos. Encoding&0.419&0.034&0.533&0.089&0.356&0.02&0.317&0.019&0.471&0.027&351.692&85.286
trace&Without Pos. Encoding&0.424&0.033&0.55&0.084&0.359&0.021&0.316&0.019&0.473&0.028&351.772&85.353
event&Pos. Encoding&0.125&0.009&0.18&0.033&0.094&0.011&0.082&0.015&0.144&0.019&351.692&85.286
event&Without Pos. Encoding&0.127&0.008&0.186&0.034&0.095&0.01&0.082&0.015&0.144&0.018&351.772&85.353
attribute&Pos. Encoding&0.092&0.007&0.18&0.033&0.041&0.005&0.082&0.015&0.063&0.014&351.692&85.286
attribute&Without Pos. Encoding&0.094&0.006&0.186&0.034&0.042&0.005&0.082&0.015&0.064&0.014&351.772&85.353
combined&Pos. Encoding&0.212&0.016&0.298&0.053&0.164&0.011&0.16&0.009&0.226&0.02&351.692&85.442
combined&Without Pos. Encoding&0.215&0.015&0.307&0.051&0.165&0.011&0.16&0.009&0.227&0.02&351.772&85.497
