level&model&rank_Average&f1_mean_Average&f1_std_Average&rank_Order&f1_mean_Order&f1_std_Order&rank_Attribute&f1_mean_Attribute&f1_std_Attribute&rank_Arrival Time&f1_mean_Arrival Time&f1_std_Arrival Time&rank_Workload&f1_mean_Workload&f1_std_Workload&run_time_mean&run_time_std
trace&Pos. Encoding&2.0&0.419&0.034&2.0&0.533&0.089&1.92&0.356&0.02&1.67&0.317&0.019&1.83&0.471&0.027&351.692&85.286
trace&Without Pos. Encoding&1.0&0.424&0.033&1.0&0.55&0.084&1.08&0.359&0.021&1.33&0.316&0.019&1.17&0.473&0.028&351.772&85.353
event&Pos. Encoding&2.0&0.125&0.009&2.0&0.18&0.033&2.0&0.094&0.011&1.67&0.082&0.015&1.33&0.144&0.019&351.692&85.286
event&Without Pos. Encoding&1.0&0.127&0.008&1.0&0.186&0.034&1.0&0.095&0.01&1.33&0.082&0.015&1.67&0.144&0.018&351.772&85.353
attribute&Pos. Encoding&2.0&0.092&0.007&2.0&0.18&0.033&2.0&0.041&0.005&1.67&0.082&0.015&1.83&0.063&0.014&351.692&85.286
attribute&Without Pos. Encoding&1.0&0.094&0.006&1.0&0.186&0.034&1.0&0.042&0.005&1.33&0.082&0.015&1.17&0.064&0.014&351.772&85.353
combined&Pos. Encoding&2.0&0.212&0.016&2.0&0.298&0.053&2.0&0.164&0.011&1.5&0.16&0.009&1.67&0.226&0.02&351.692&85.442
combined&Without Pos. Encoding&1.0&0.215&0.015&1.0&0.307&0.051&1.0&0.165&0.011&1.5&0.16&0.009&1.33&0.227&0.02&351.772&85.497
