categorical_encoding,level,rank_mean,rank_std,f1_mean,f1_std
Trace2Vec Concatinate,attribute,1.0,0.0,0.03,0.0
Trace2Vec Concatinate,combined,1.0,0.0,0.11,0.03
Trace2Vec Concatinate,event,1.0,0.0,0.07,0.01
Trace2Vec Concatinate,trace,1.0,0.0,0.24,0.08
