categorical_encoding,level,rank_mean,rank_std,f1_mean,f1_std
Word2Vec Average Then Concatinate,attribute,1.07,0.26,0.03,0.01
One Hot,attribute,1.93,0.26,0.03,0.01
Word2Vec Average Then Concatinate,combined,1.0,0.0,0.12,0.04
One Hot,combined,2.0,0.0,0.11,0.04
Word2Vec Average Then Concatinate,event,1.02,0.14,0.06,0.02
One Hot,event,1.98,0.14,0.05,0.02
Word2Vec Average Then Concatinate,trace,1.06,0.23,0.26,0.08
One Hot,trace,1.94,0.23,0.25,0.08
