categorical_encoding,level,rank_mean,rank_std,f1_mean,f1_std
Word2Vec Average Then Concatinate,attribute,1.0,0.0,0.07,0.0
Word2Vec Concatinate,attribute,2.0,0.0,0.06,0.0
Word2Vec Average Then Concatinate,combined,1.0,0.0,0.18,0.0
Word2Vec Concatinate,combined,2.0,0.0,0.16,0.0
Word2Vec Average Then Concatinate,event,1.0,0.0,0.12,0.0
Word2Vec Concatinate,event,2.0,0.0,0.09,0.0
Word2Vec Average Then Concatinate,trace,1.0,0.0,0.36,0.0
Word2Vec Concatinate,trace,2.0,0.0,0.34,0.0
