categorical_encoding,level,rank_mean,rank_std,f1_mean,f1_std
Word2Vec Average Then Concatinate,attribute,1.0,0.0,0.04,0.01
One Hot,attribute,2.0,0.0,0.04,0.02
Word2Vec Average Then Concatinate,combined,1.22,0.44,0.12,0.03
One Hot,combined,1.78,0.44,0.11,0.04
Word2Vec Average Then Concatinate,event,1.11,0.33,0.07,0.02
One Hot,event,1.89,0.33,0.07,0.02
Word2Vec Average Then Concatinate,trace,1.44,0.53,0.23,0.07
One Hot,trace,1.56,0.53,0.23,0.07
