categorical_encoding,level,rank_mean,rank_std,f1_mean,f1_std
Word2Vec Average Then Concatinate,attribute,1.09,0.29,0.03,0.01
One Hot,attribute,1.91,0.29,0.02,0.01
Word2Vec Average Then Concatinate,combined,1.0,0.0,0.14,0.04
One Hot,combined,2.0,0.0,0.13,0.04
Word2Vec Average Then Concatinate,event,1.0,0.0,0.08,0.02
One Hot,event,2.0,0.0,0.06,0.02
Word2Vec Average Then Concatinate,trace,1.11,0.32,0.3,0.08
One Hot,trace,1.89,0.32,0.3,0.08
