dataset_short_name,model,level,f1_mean,f1_std,f1_rank
gigantic/0.45,transformer_order_1,attribute,0.08501719590447827,0.029901085591499267,4.0
gigantic/0.45,transformer_order_1,event,0.11846989745949939,0.027246073561498423,4.0
gigantic/0.45,transformer_order_1,trace,0.37728142431286904,0.07584860236839729,4.0
gigantic/0.45,transformer_order_2,attribute,0.08602432354070379,0.030798993952732404,2.0
gigantic/0.45,transformer_order_2,event,0.12024744908511353,0.027820033419542596,2.0
gigantic/0.45,transformer_order_2,trace,0.3798835937193737,0.07855725255879616,2.0
gigantic/0.45,transformer_order_4,attribute,0.08756640068357642,0.03192058109809364,1.0
gigantic/0.45,transformer_order_4,event,0.12053924158505021,0.02693783467553558,1.0
gigantic/0.45,transformer_order_4,trace,0.379181196731236,0.07562713260442491,3.0
gigantic/0.45,transformer_order_8,attribute,0.08572313566064904,0.03139170475906918,3.0
gigantic/0.45,transformer_order_8,event,0.11979496802770624,0.02763125345088782,3.0
gigantic/0.45,transformer_order_8,trace,0.38107380885464653,0.07860980388723145,1.0
huge/0.45,transformer_order_1,attribute,0.08805998877799849,0.0557256269108093,4.0
huge/0.45,transformer_order_1,event,0.12059318156339387,0.04090370428368304,4.0
huge/0.45,transformer_order_1,trace,0.4203027149036755,0.09294119903893015,4.0
huge/0.45,transformer_order_2,attribute,0.08829180675537275,0.05753923544862012,3.0
huge/0.45,transformer_order_2,event,0.12135951124318507,0.04210045410399951,3.0
huge/0.45,transformer_order_2,trace,0.4219624141802045,0.09628489652260096,3.0
huge/0.45,transformer_order_4,attribute,0.08922130781753913,0.05840390356767409,1.0
huge/0.45,transformer_order_4,event,0.12145714804854552,0.043020743198578126,2.0
huge/0.45,transformer_order_4,trace,0.4226795363521376,0.09912439111995829,2.0
huge/0.45,transformer_order_8,attribute,0.08864761941762961,0.05885156567010287,2.0
huge/0.45,transformer_order_8,event,0.12236032060248868,0.04347485161616755,1.0
huge/0.45,transformer_order_8,trace,0.42293342861919686,0.09958994907178435,1.0
large/0.45,transformer_order_1,attribute,0.08443571578635299,0.07247073725477726,4.0
large/0.45,transformer_order_1,event,0.11315258292973028,0.05773561664224167,4.0
large/0.45,transformer_order_1,trace,0.39725936504428655,0.08404266402053512,2.0
large/0.45,transformer_order_2,attribute,0.0858277823849572,0.07497797299520653,1.0
large/0.45,transformer_order_2,event,0.11450363660134444,0.06000169186236003,1.0
large/0.45,transformer_order_2,trace,0.39690055013513753,0.08713540489682035,3.0
large/0.45,transformer_order_4,attribute,0.08579273254426123,0.07491441580445007,3.0
large/0.45,transformer_order_4,event,0.11446382984242938,0.06013259043755725,2.0
large/0.45,transformer_order_4,trace,0.3979143431829462,0.0895570301429675,1.0
large/0.45,transformer_order_8,attribute,0.08582133995432932,0.07463575096854727,2.0
large/0.45,transformer_order_8,event,0.11433505875581147,0.05996449063223128,3.0
large/0.45,transformer_order_8,trace,0.39582688660011683,0.09009594818384772,4.0
p2p/0.45,transformer_order_1,attribute,0.09859104078256968,0.05416498694036328,1.0
p2p/0.45,transformer_order_1,event,0.1337658152090611,0.04013592045408871,2.0
p2p/0.45,transformer_order_1,trace,0.4247631453781085,0.07483346059815979,3.0
p2p/0.45,transformer_order_2,attribute,0.09728277475611392,0.05610217592796421,4.0
