dataset_short_name,model,level,f1_mean,f1_std,f1_rank
gigantic/0.45,transformer_multi_task_false,attribute,0.08129646741157699,0.03239363828222803,1.0
gigantic/0.45,transformer_multi_task_false,event,0.14770780534742114,0.06362172714946322,1.0
gigantic/0.45,transformer_multi_task_false,trace,0.42599655069267955,0.12391704503779988,2.0
gigantic/0.45,transformer_multi_task_true,attribute,0.07834364815866754,0.030378881394827667,2.0
gigantic/0.45,transformer_multi_task_true,event,0.1473465859899669,0.06395004648462166,2.0
gigantic/0.45,transformer_multi_task_true,trace,0.42961821660808536,0.12681696003891849,1.0
huge/0.45,transformer_multi_task_false,attribute,0.0856160530649189,0.054003869577573686,1.0
huge/0.45,transformer_multi_task_false,event,0.14815967333353225,0.06500459579178457,1.0
huge/0.45,transformer_multi_task_false,trace,0.46574979603651806,0.12396534571510126,1.0
huge/0.45,transformer_multi_task_true,attribute,0.08161464362980267,0.05181861630684639,2.0
huge/0.45,transformer_multi_task_true,event,0.14605194669320812,0.06434320534314625,2.0
huge/0.45,transformer_multi_task_true,trace,0.46401600349596134,0.12269985033942603,2.0
large/0.45,transformer_multi_task_false,attribute,0.08134036793915643,0.06683173177345587,1.0
large/0.45,transformer_multi_task_false,event,0.13715042298398855,0.07221594233744454,1.0
large/0.45,transformer_multi_task_false,trace,0.4505758930598333,0.12723572002451528,1.0
large/0.45,transformer_multi_task_true,attribute,0.0797260416681611,0.06486614975297159,2.0
large/0.45,transformer_multi_task_true,event,0.13673833464722174,0.0709830494247418,2.0
large/0.45,transformer_multi_task_true,trace,0.4465428787771024,0.12790441130187222,2.0
p2p/0.45,transformer_multi_task_false,attribute,0.09147831727309866,0.052061785111078056,1.0
p2p/0.45,transformer_multi_task_false,event,0.1606017764245092,0.06492564269780479,1.0
p2p/0.45,transformer_multi_task_false,trace,0.4711796125983216,0.1104191625847326,1.0
p2p/0.45,transformer_multi_task_true,attribute,0.0911745030531563,0.05041250761424952,2.0
p2p/0.45,transformer_multi_task_true,event,0.15898249949812698,0.06431686690481624,2.0
p2p/0.45,transformer_multi_task_true,trace,0.46792590949637225,0.1098673572284732,2.0
small/0.45,transformer_multi_task_false,attribute,0.09362046860921076,0.0626566799149496,1.0
small/0.45,transformer_multi_task_false,event,0.15962127815200525,0.07410675685960545,1.0
small/0.45,transformer_multi_task_false,trace,0.5140307138013451,0.14845036767390313,1.0
small/0.45,transformer_multi_task_true,attribute,0.09147400746076777,0.06303948918013177,2.0
small/0.45,transformer_multi_task_true,event,0.15822792557202964,0.07421026281998375,2.0
small/0.45,transformer_multi_task_true,trace,0.512950834546799,0.14914600893064361,2.0
wide/0.45,transformer_multi_task_true,attribute,0.09012886646278458,0.049902670238116176,1.0
wide/0.45,transformer_multi_task_true,event,0.1580554709314184,0.06368793135938994,1.0
wide/0.45,transformer_multi_task_true,trace,0.4608279830761906,0.12148699502580934,1.0
gigantic/0.45,transformer_multi_task_false,combined,0.21833360781722588,0.17120570291564072,2.0
gigantic/0.45,transformer_multi_task_true,combined,0.21843615025223992,0.17415333329322552,1.0
huge/0.45,transformer_multi_task_false,combined,0.23317517414498973,0.1883852543137317,1.0
huge/0.45,transformer_multi_task_true,combined,0.23056086460632402,0.18851977965693925,2.0
large/0.45,transformer_multi_task_false,combined,0.2230222279943261,0.18772644016524676,1.0
large/0.45,transformer_multi_task_true,combined,0.22100241836416173,0.1863159421509816,2.0
p2p/0.45,transformer_multi_task_false,combined,0.24108656876530982,0.18431093005125773,1.0
p2p/0.45,transformer_multi_task_true,combined,0.23936097068255183,0.18293147728388984,2.0
small/0.45,transformer_multi_task_false,combined,0.2557574868541871,0.211805399674641,1.0
small/0.45,transformer_multi_task_true,combined,0.2542175891931988,0.2123352371679775,2.0
wide/0.45,transformer_multi_task_true,combined,0.23633744015679786,0.18258201959101833,1.0
